municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-03 19:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-03 20:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-03 21:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-03 22:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-03 23:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 00:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 01:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 02:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 03:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 04:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 05:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 06:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 07:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 08:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 09:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 10:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 11:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 12:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 13:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 14:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 15:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 16:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 17:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 18:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 19:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 19:10:00.0;0,39;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 19:20:00.0;5,12;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 19:30:00.0;3,15;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 19:40:00.0;2,56;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 19:50:00.0;1,18;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 20:00:00.0;0,39;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 20:10:00.0;0,20;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 20:20:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 20:30:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 20:40:00.0;0,59;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 20:50:00.0;0,39;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 21:00:00.0;0,59;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 21:10:00.0;0,20;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 21:20:00.0;0,39;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 21:30:00.0;0,39;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 21:40:00.0;0,20;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 21:50:00.0;0,20;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 22:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 22:10:00.0;0,20;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2017-02-04 22:20:00.0;0,00;
