Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:02044008


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2044008;1;01/10/2017;1;42,3;137,1;3;8;1;1;1;;0;16,2;0,0;42,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,3;4,7;0,0;0,0;2,8;37,2;2,4;0,0;23,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2044008;1;01/09/2017;1;0,0;0,0;1;0;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2044008;1;01/08/2017;1;0,0;0,0;1;0;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2044008;1;01/06/2017;1;17,5;21,4;13;2;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,5;3,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2044008;1;01/05/2017;1;20,1;22,0;20;3;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;20,1;0,9;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2044008;1;01/04/2017;1;16,1;31,9;16;4;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;16,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,3;0,0;10,6;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2044008;1;01/03/2017;1;54,5;99,7;9;5;1;1;1;;0;0,0;0,0;1,6;0,0;0,0;0,0;0,0;0,0;54,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;32,3;0,0;1,7;0,0;0,0;0,0;0,0;0,0;0,0;9,6;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2044008;1;01/02/2017;1;34,0;105,1;7;8;1;1;1;;0;0,0;0,0;8,9;0,0;8,3;24,7;34,0;0,0;7,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,2;0,0;0,0;0,0;0,0;0,0;18,1;1,9;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
2044008;1;01/01/2017;1;64,3;108,3;14;6;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13,1;64,3;23,3;3,0;0,0;0,0;0,0;0,0;0,7;0,0;0,0;0,0;3,9;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2044008;1;01/12/2016;1;94,4;266,9;14;12;1;1;1;;0;5,3;0,0;0,0;8,1;57,5;14,5;0,0;0,0;0,0;4,8;3,3;0,0;5,5;94,4;9,1;17,4;0,0;0,0;0,0;0,0;0,0;0,0;7,2;0,0;0,0;39,8;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2044008;1;01/11/2016;1;40,0;228,0;30;15;1;1;1;;0;0,0;0,0;0,0;0,0;31,3;0,0;0,0;9,9;0,0;12,3;0,0;0,0;8,7;17,9;18,0;11,3;2,7;2,1;9,3;0,0;0,0;0,0;27,7;20,5;0,0;0,0;8,5;0,0;7,8;40,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2044008;1;01/10/2016;1;20,5;52,8;4;7;1;1;1;;0;0,0;0,5;0,0;20,5;1,6;12,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,2;0,0;0,0;0,0;1,3;12,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2044008;1;01/09/2016;1;24,5;63,1;26;5;1;1;1;;0;7,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;16,3;0,0;0,0;0,0;0,0;7,8;24,5;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2044008;1;01/08/2016;1;3,0;3,0;16;1;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2044008;1;01/07/2016;1;0,0;0,0;1;0;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2044008;1;01/06/2016;1;26,2;55,8;4;3;1;1;1;;0;0,0;13,4;16,2;26,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
