codEstacao;municipio;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 00:30:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 00:40:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 00:50:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 01:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 01:10:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 01:20:00.0;0.20;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 01:30:00.0;0.20;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 01:40:00.0;0.59;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 01:50:00.0;0.39;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 02:00:00.0;0.98;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 02:10:00.0;0.79;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 02:20:00.0;0.59;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 02:30:00.0;0.59;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 02:40:00.0;0.20;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 02:50:00.0;0.20;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 03:00:00.0;0.20;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 03:10:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 03:20:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 03:30:00.0;0.20;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 03:40:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 04:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 04:10:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 04:20:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 04:30:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 04:40:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 04:50:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 05:00:00.0;0.00;
